Ativo,Beta_Historico,Beta_1_Ano,Beta_30_dias
AALR3,0.637,0.826,0.474
ABCB4,0.759,0.889,0.660
ABEV3,0.534,0.697,0.918
ADHM3,0.303,0.873,1.731
AGRO3,0.251,0.401,0.440
ALPA3,0.307,0.843,1.455
ALPA4,0.659,0.976,0.337
ALPK3,0.224,0.224,0.068
ALSO3,0.673,1.215,0.867
ALUP11,0.470,0.564,0.490
AMAR3,0.911,1.509,0.783
AMBP3,0.669,0.669,0.319
ANIM3,0.786,0.940,0.685
APER3,0.410,0.749,0.443
ARZZ3,0.754,0.923,0.662
AZUL4,1.641,1.929,0.635
B3SA3,1.075,1.058,1.021
BAHI3,0.262,0.700,-0.425
BBAS3,1.288,1.237,1.225
BBDC3,1.068,1.094,1.272
BBDC4,1.112,1.075,1.191
BBRK3,0.874,1.237,0.616
BBSE3,0.737,0.626,0.552
BEEF3,0.508,0.670,0.876
BGIP4,0.272,0.461,1.179
BIDI11,0.978,0.985,0.522
BIDI4,1.052,1.222,0.605
BIOM3,0.377,0.660,-0.216
BKBR3,0.903,1.089,0.944
BMGB4,0.837,0.837,0.532
BPAC11,1.175,1.433,0.792
BPAN4,0.778,1.493,0.380
BRAP3,0.958,0.940,0.887
BRAP4,1.080,0.897,0.973
BRDT3,1.070,1.077,0.950
BRFS3,0.681,0.927,0.796
BRKM3,0.582,0.836,0.502
BRKM5,0.957,1.489,1.151
BRML3,0.975,1.121,1.389
BRPR3,0.643,0.850,0.614
BRSR3,0.277,0.436,0.382
BRSR6,0.981,0.968,1.094
BSEV3,0.558,1.029,0.888
BTOW3,1.051,1.182,0.984
CAML3,0.386,0.377,0.364
CARD3,0.552,0.601,0.776
CCPR3,0.371,1.033,0.605
CCRO3,0.920,1.228,0.668
CEAB3,1.292,1.292,0.525
CEDO4,0.367,0.616,0.362
CESP3,0.354,0.295,0.063
CESP6,0.679,0.732,0.261
CGRA3,0.311,0.434,0.041
CGRA4,0.419,0.650,-0.188
CIEL3,0.714,1.067,0.282
CLSC4,0.386,0.453,0.183
CMIG3,0.890,1.034,0.653
CMIG4,0.969,1.013,0.685
CNTO3,1.256,1.290,0.770
COCE5,0.312,0.319,0.620
COGN3,0.984,1.335,1.648
CPFE3,0.596,0.712,0.724
CPLE3,0.758,0.862,0.659
CPLE6,0.894,0.958,0.748
CRDE3,0.324,0.442,0.899
CRFB3,0.552,0.515,0.533
CSAN3,0.861,1.026,0.976
CSMG3,0.640,0.807,0.844
CSNA3,1.434,1.321,1.306
CTNM4,0.330,0.674,-0.411
CVCB3,1.090,1.684,0.855
CYRE3,1.178,1.483,1.324
DASA3,0.184,0.003,0.169
DIRR3,0.763,0.949,0.787
DMMO3,0.782,1.086,-2.615
DTEX3,0.998,1.228,0.187
ECOR3,0.913,1.287,0.262
EGIE3,0.503,0.579,0.051
ELET3,1.173,1.306,1.692
ELET6,1.012,1.105,1.307
EMBR3,0.649,1.217,1.390
ENAT3,0.806,0.945,0.547
ENBR3,0.594,0.691,0.596
ENEV3,0.543,0.824,-0.259
ENGI11,0.413,0.777,0.542
EQTL3,0.491,0.730,0.468
EUCA4,0.641,1.150,-0.430
EVEN3,1.097,1.409,1.081
EZTC3,0.974,1.313,0.369
FESA4,0.617,0.640,0.567
FLRY3,0.495,0.754,0.404
FRAS3,0.284,0.685,0.010
GEPA4,0.099,0.256,0.432
GFSA3,1.122,1.134,1.078
GGBR3,1.007,0.959,1.192
GGBR4,1.169,1.236,1.050
GNDI3,0.914,1.087,1.091
GOAU3,1.050,1.122,0.897
GOAU4,1.261,1.292,1.141
GOLL4,1.573,1.889,0.507
GRND3,0.514,0.720,0.752
GSHP3,0.425,0.385,-0.354
GUAR3,0.510,1.284,1.119
HAPV3,0.851,0.972,0.827
HBOR3,1.018,1.642,0.748
HGTX3,0.631,1.231,0.818
HYPE3,0.726,0.808,0.468
IDVL3,0.252,0.717,0.559
IDVL4,0.063,0.647,0.760
IGTA3,0.783,1.110,0.989
IRBR3,0.858,1.101,0.343
ITSA3,0.665,0.490,0.764
ITSA4,0.989,0.827,1.191
ITUB3,0.868,0.765,1.073
ITUB4,1.014,0.858,1.285
JBSS3,0.913,0.935,0.542
JHSF3,0.921,1.146,1.241
JSLG3,0.762,1.348,1.068
KEPL3,0.435,0.447,0.916
KLBN11,0.434,0.535,0.518
LAME3,0.850,1.061,0.813
LAME4,0.948,1.095,0.542
LCAM3,0.625,1.364,1.181
LEVE3,0.441,0.763,0.597
LIGT3,0.873,1.139,0.745
LINX3,0.585,1.019,0.865
LOGG3,0.995,1.055,0.382
LOGN3,0.781,1.432,1.028
LPSB3,0.884,1.440,0.963
LREN3,0.946,1.087,0.762
LWSA3,1.068,1.068,0.529
MDIA3,0.549,0.802,0.846
MDNE3,1.431,1.431,1.405
MEAL3,0.626,1.154,1.122
MGLU3,1.027,1.256,1.010
MILS3,0.836,1.102,0.358
MOVI3,1.168,1.330,0.584
MRFG3,0.914,1.082,0.805
MRVE3,1.065,1.161,0.786
MTRE3,1.194,1.194,0.609
MULT3,0.810,1.131,0.987
MYPK3,0.844,1.086,0.570
NEOE3,0.754,0.758,0.425
NTCO3,1.242,1.242,1.096
ODPV3,0.411,0.473,0.649
OFSA3,0.465,0.771,0.659
OMGE3,0.575,0.687,-0.248
PARD3,0.852,0.925,0.523
PCAR3,0.156,0.491,0.865
PETR3,1.417,1.412,1.026
PETR4,1.453,1.326,1.115
PFRM3,0.526,0.989,2.395
PINE4,0.527,1.113,0.412
PMAM3,1.402,0.845,1.363
POMO3,0.651,0.940,0.442
POMO4,0.809,1.039,0.482
POSI3,0.837,1.315,0.752
PRIO3,1.144,1.759,1.392
PRNR3,0.637,0.637,0.106
PSSA3,0.498,0.490,-0.025
PTBL3,0.673,1.161,1.142
PTNT4,0.353,0.673,0.243
QUAL3,0.756,1.009,1.114
RADL3,0.482,0.461,0.781
RAIL3,1.030,0.998,0.764
RAPT3,0.690,0.980,0.748
RAPT4,1.002,1.250,1.039
RDNI3,0.514,0.821,-0.514
RENT3,0.960,1.289,0.622
RLOG3,1.231,0.929,-0.563
ROMI3,0.559,0.876,0.459
RSID3,1.222,1.040,0.924
SANB11,0.967,0.993,1.035
SAPR11,0.489,0.450,0.551
SAPR4,0.451,0.526,0.706
SBSP3,0.851,1.023,0.787
SCAR3,0.487,0.855,0.544
SEER3,0.851,0.952,1.551
SGPS3,0.594,0.918,-0.233
SHOW3,0.541,0.914,0.281
SLCE3,0.416,0.524,0.508
SMLS3,0.912,1.225,0.459
SMTO3,0.582,1.014,0.837
SQIA3,0.520,0.947,0.380
STBP3,0.426,1.108,0.867
SULA11,0.636,0.970,0.897
SUZB3,0.134,0.437,0.604
TAEE11,0.375,0.368,0.091
TASA3,0.466,0.759,0.313
TASA4,0.541,0.810,1.192
TCSA3,0.907,1.068,1.174
TECN3,0.710,1.011,0.439
TEND3,0.496,1.077,0.665
TESA3,0.598,0.793,0.267
TGMA3,0.778,1.142,0.666
TIET11,0.575,0.677,0.595
TIMP3,0.662,0.681,0.624
TOTS3,0.576,0.945,0.402
TPIS3,0.646,1.084,0.647
TRIS3,0.744,1.292,0.222
TRPL4,1.282,0.453,0.109
TUPY3,28.615,0.701,0.361
UCAS3,0.617,0.926,0.478
UGPA3,0.875,1.370,0.710
UNIP6,0.604,1.056,0.514
USIM3,0.990,0.939,1.239
USIM5,1.327,1.252,1.155
VALE3,1.070,1.000,0.959
VIVA3,1.345,1.345,0.931
VIVT4,0.514,0.446,0.370
VLID3,0.577,1.004,0.499
VULC3,0.510,0.915,0.935
VVAR3,0.756,1.549,0.977
WEGE3,0.569,0.802,1.083
WIZS3,0.634,0.932,0.567
YDUQ3,0.912,1.092,0.436
